TDLinx,Chain,Cluster,ACV,Currentpop,CurrentHouseholds,MedianHHincome,MedianYrsSchool,College_4YrsPctPen,College_Less_4YrsPctPen,HighSchoolGradPctPen,HighSchoolNoDiplomaPctPen,_to8YrsElemSchoolPctPen,WhiteCollarPctPen,AllServicePctPen,BlueCollarPctPen,Farm_Forest_FishPctPen,MedianHomeValue,MedianAgeTotalPop,WhitePopPctPen,BlackPopPctPen,Asian_PacificIslanderPopPctPen,PopOtherThanBlack_WhitePctPen,HispanicAncestryPctPen,Address,CityState,Zip,Groc_Count,Groc_Miles,Mass_Count,Mass_Miles,CSD_Volume_Sales,CSD_Volume_per__MM_ACV,CSD_Price,Corp_Pep_Volume_Sales,Corp_Pep_Volume_per__MM_ACV,Corp_Pep_Price,Corp_Coke_Volume_Sales,Corp_Coke_Volume_per__MM_ACV,Corp_Coke_Price,ZIP5,PRIZM_CODE,Prizm_Cluster,C1,C2,C3,S2,S3,S4,T1,T2,T3,T4,U1,U2,U3,lpepvol,lcokvol,lpeppri,lcokpri
1497392,TOPS,Mid Down Suburbs,15600000,16023,6854,42882,13.2,19.66,27.09,36.42,11.88,4.95,62.33,12.72,24.31,0.65,87520,41,95.9,0.84,1.9,2.32,0.94,890 YOUNG ST,TO0WANDA NY,14150,27,3.24791446,23,2.9817258713,191892.9063,7996.882813,5.127431919,93274.25781,0.4314332372,-0.882863585,26543.77734,-0.74528815,-1.03187067,14150,49,S4,0,0,0,0,0,1,0,0,0,0,0,0,0,8.264652195,7.0039433134,1.6774110085,1.72360982
460002,TOPS,Mid Down Suburbs,26000000,63128,28494,29582,13.4,24.44,21.81,24.97,17.45,11.32,62.36,17.44,19.54,0.67,96832,36.5,59.1,22.5,2.33,3.97,14.43,345 AMHERST ST,BUFFALO NY,14207,47,3.0490640952,23,2.6000820575,263158.4688,9152.302734,5.099071603,123624.2813,0.6698349814,-0.685539095,23577.30469,-1.512794897,-1.011714621,14207,61,U3,0,0,0,0,0,0,0,0,0,0,0,0,1,8.3663172707,6.7073117173,1.6890996128,1.7246671336
469737,TOPS,Inner City,41600000,40119,18021,35988,13.3,23.21,23.55,30.11,13.85,9.28,64.11,13.75,21.82,0.31,89508,38.1,86.54,6.77,1.06,2.06,4.63,2101 ELMWOOD AVE,BUFFALO NY,14207,49,3.1796953795,29,2.8896505236,358236.125,7539.911133,5.07361939,166164.5469,0.206680372,-0.98866466,41043.78125,-1.383746921,-0.86915542,14207,61,U3,0,0,0,0,0,0,0,0,0,0,0,0,1,8.1583067499,6.7637504249,1.6710871104,1.7321135295
919020,WEGMANS,Mid Down Suburbs,39000000,110838,49491,33428,13.4,24.78,22.78,26.63,15.78,10.03,63.37,15.6,20.46,0.56,93491,36.9,69.95,17.84,1.73,3.07,9.14,601 AMHERST ST,BUFFALO NY,14207,52,3.1021546534,25,2.6312916879,258782.75,5402.709961,5.233720176,59191.30078,-1.091634614,0.1410962692,55534.79688,-0.575230599,0.6762293846,14207,61,U3,0,0,0,0,0,0,0,0,0,0,0,0,1,7.1136908767,7.0592582742,1.7366328483,1.8094646651
261438,TOPS,Mid Down Suburbs,10400000,31253,13436,19818,12.2,6.58,17.91,33.96,25.97,15.58,42.53,24.15,32.7,0.61,41959,33.1,33.88,62.18,1.37,1.92,2.02,1770 BROADWAY ST,BUFFALO NY,14212,58,2.9403747192,35,3.4627100179,153922.1406,10406.30566,4.851426,60472.08984,0.5419066604,-1.243724345,8415.849609,-2.183813542,-0.657879257,14212,61,U3,0,0,0,0,0,0,0,0,0,0,0,0,1,8.3130506504,6.3479083551,1.655675328,1.7430482778
349877,WEGMANS,Mid Down Suburbs,36400000,116710,44473,51075,13.1,18.71,26.2,35.12,13.17,6.79,57.81,13.13,27.37,1.69,98572,38.4,94.42,2.32,0.5,0.88,2.39,3740 S MCKINLEY PKWY,BLASDELL NY,14219,15,3.0638824626,16,3.6105961174,232462.6719,4840.306641,5.357521446,61948.78906,-1.070232966,0.1196641834,56583.625,-0.470301084,0.9349487575,14219,46,S4,0,0,0,0,0,1,0,0,0,0,0,0,0,7.1436077677,7.0919227668,1.7354285654,1.82184917
17632,TOPS,Mid Down Suburbs,15600000,48472,21335,22169,12.2,7.22,20.75,30.58,24.95,16.49,44.67,22.47,32.16,0.7,49857,34.4,57.29,34.05,0.71,1.44,7.22,1460 S PARK AVE,BUFFALO NY,14220,39,3.190014021,22,2.9869366029,230356.5469,10696.6582,5.112894081,120514.6563,1.4101612011,-0.611807572,18235.38867,-1.435376223,-1.169032577,14220,46,S4,0,0,0,0,0,1,0,0,0,0,0,0,0,8.6288276759,6.7415513021,1.6934323068,1.7163849598
295560,TOPS,Affluent Elite,26000000,45249,17065,76997,14.8,40.55,26.47,22.11,6.87,4.01,79.97,7.88,11.85,0.31,160441,42.6,93.07,1.84,4.02,4.18,0.91,2351 MAPLE RD,AMHERST NY,14221,11,2.2305516399,11,2.9089873764,220566.2188,6061.382813,5.482693619,97424.02344,-0.2609468,0.112594505,32738.80273,-1.30241371,-0.536334726,14221,14,S2,0,0,0,1,0,0,0,0,0,0,0,0,0,7.8924396404,6.7977514308,1.7350309973,1.7492851437
808837,WEGMANS,Affluent Elite,35100000,70065,25243,73024,14,30.33,27.22,27.78,9.76,4.91,68.49,10.53,20.03,0.94,152404,38.7,93.5,2.28,2.77,3.03,1.19,8270 TRANSIT RD,WILLIAMSVILLE NY,14221,10,2.0400169475,8,2.2235432061,252421.2344,4870.808594,5.435976408,61599.14063,-1.098940407,0.2346714744,70498.27344,-0.093971987,0.3920334904,14221,14,S2,0,0,0,1,0,0,0,0,0,0,0,0,0,7.1032698597,7.2010088381,1.7418739762,1.7956814963
1465485,TOPS,Inner City,26000000,25680,11208,40801,13.4,22.64,26.89,32.95,11.09,6.43,65.42,12.66,21.53,0.4,92089,42.7,95.56,1.71,0.89,1.25,1.47,1740 SHERIDEN DR,BUFFALO NY,14223,38,3.3025203078,27,3.0207739727,247556.2656,6833.95459,5.104337076,119510.9844,0.0937111911,-1.042343957,33928.77734,-1.205691214,-0.764477453,14223,26,U1,0,0,0,0,0,0,0,0,0,0,1,0,0,8.1002549494,6.8367362999,1.6678632561,1.7375461575
798694,WEGMANS,Mid Down Suburbs,48100000,84460,33181,42969,12.7,13.91,25.05,36.48,15.44,9.12,57.41,14.82,27.22,0.55,86694,38.4,95.94,0.82,0.63,1.03,2.21,370 ORCHARD PARK RD,WEST SENECA NY,14224,26,3.2546192179,19,2.813119121,269430.2813,5673.937988,5.206768124,69301.10156,-0.975452791,-0.094532395,56047.97266,-0.485039905,0.8007899262,14224,39,S3,0,0,0,0,1,0,0,0,0,0,0,0,0,7.2662933181,7.087398488,1.7233123649,1.8154463382
867269,TOPS,Mid Down Suburbs,31200000,42542,17072,43188,12.8,14.73,25.54,36.01,15.38,8.35,58.09,14.97,26.39,0.56,88081,39.3,96.56,0.83,0.57,0.94,1.66,355 ORCHARD PARK RD,WEST SENECA NY,14224,28,3.3117798321,19,2.7629180988,336666.8125,7378.70752,5.264512447,181571.1094,0.4841445049,-0.531198685,34271.50781,-1.710781015,-0.606569482,14224,39,S3,0,0,0,0,1,0,0,0,0,0,0,0,0,8.288037401,6.6140129697,1.6981477542,1.7456859039
1521911,TOPS,Mid Down Suburbs,20800000,32264,13363,40473,12.5,8.96,23.78,37.81,18.2,11.25,55.02,13.42,30.83,0.73,84015,40.5,96.2,1.37,0.97,1.29,1.15,800 HARLEM RD,WEST SENECA NY,14224,42,3.3707271742,26,3.07622076,240671.5938,8620.546875,5.036232594,117951.4844,0.6220547346,-1.055321691,26115.02734,-1.213993218,-0.997985274,14224,39,S3,0,0,0,0,1,0,0,0,0,0,0,0,0,8.3467530359,6.8334490918,1.6670822809,1.7253866861
